event_id,user_id,conversation_id,source_turn_id,event_time,event_content,emotions_json,viewpoint,branch_id,parent_event_id,branch_origin_event_id,persona_id,persona_name,created_at
event_001,demo_user,conv_main,turn_001,2026-01-12T09:00:00,开始认真思考未来方向,"[{""code"": ""anger"", ""label"": ""愤怒"", ""intensity"": 0.73, ""score"": 0.0}]",主线选择提醒我：开始认真思考未来方向需要耐心，也需要诚实面对反馈。,main,,,,,2026-07-23T20:00:00
event_002,demo_user,conv_main,turn_002,2026-01-19T09:00:00,决定把模糊的想法写下来,"[{""code"": ""sadness"", ""label"": ""悲伤"", ""intensity"": 0.61, ""score"": 0.12}]",主线选择提醒我：决定把模糊的想法写下来需要耐心，也需要诚实面对反馈。,main,event_001,,,,2026-07-23T20:00:00
event_003,demo_user,conv_main,turn_003,2026-01-26T09:00:00,第一次向朋友讲述长期愿景,"[{""code"": ""anxiety"", ""label"": ""焦虑"", ""intensity"": 0.74, ""score"": 0.25}]",主线选择提醒我：第一次向朋友讲述长期愿景需要耐心，也需要诚实面对反馈。,main,event_002,,,,2026-07-23T20:00:00
event_004,demo_user,conv_main,turn_004,2026-02-02T09:00:00,发现稳定与自由并非对立,"[{""code"": ""confusion"", ""label"": ""迷茫"", ""intensity"": 0.69, ""score"": 0.42}]",主线选择提醒我：发现稳定与自由并非对立需要耐心，也需要诚实面对反馈。,main,event_003,,,,2026-07-23T20:00:00
event_005,demo_user,conv_main,turn_005,2026-02-09T09:00:00,尝试为下一年设定判断标准,"[{""code"": ""surprise"", ""label"": ""惊讶"", ""intensity"": 0.47, ""score"": 0.5}]",主线选择提醒我：尝试为下一年设定判断标准需要耐心，也需要诚实面对反馈。,main,event_004,,,,2026-07-23T20:00:00
event_006,demo_user,conv_main,turn_006,2026-02-16T09:00:00,主动寻找不同人生的可能,"[{""code"": ""calm"", ""label"": ""平静"", ""intensity"": 0.48, ""score"": 0.6}]",主线选择提醒我：主动寻找不同人生的可能需要耐心，也需要诚实面对反馈。,main,event_005,,,,2026-07-23T20:00:00
event_007,demo_user,conv_main,turn_007,2026-02-23T09:00:00,接受选择会带来真实代价,"[{""code"": ""satisfaction"", ""label"": ""满足"", ""intensity"": 0.62, ""score"": 0.78}]",主线选择提醒我：接受选择会带来真实代价需要耐心，也需要诚实面对反馈。,main,event_006,,,,2026-07-23T20:00:00
event_008,demo_user,conv_main,turn_008,2026-03-02T09:00:00,决定用行动替代反复想象,"[{""code"": ""optimism"", ""label"": ""乐观"", ""intensity"": 0.68, ""score"": 0.9}]",主线选择提醒我：决定用行动替代反复想象需要耐心，也需要诚实面对反馈。,main,event_007,,,,2026-07-23T20:00:00
event_009,demo_user,conv_main,turn_009,2026-03-09T09:00:00,完成第一次阶段性复盘,"[{""code"": ""joy"", ""label"": ""喜悦"", ""intensity"": 0.46, ""score"": 1.0}]",主线选择提醒我：完成第一次阶段性复盘需要耐心，也需要诚实面对反馈。,main,event_008,,,,2026-07-23T20:00:00
event_010,demo_user,conv_main,turn_010,2026-03-16T09:00:00,开始理解自己真正重视什么,"[{""code"": ""anger"", ""label"": ""愤怒"", ""intensity"": 0.88, ""score"": 0.0}]",主线选择提醒我：开始理解自己真正重视什么需要耐心，也需要诚实面对反馈。,main,event_009,,,,2026-07-23T20:00:00
event_011,demo_user,conv_main,turn_011,2026-03-23T09:00:00,重新调整工作与生活节奏,"[{""code"": ""sadness"", ""label"": ""悲伤"", ""intensity"": 0.77, ""score"": 0.12}]",主线选择提醒我：重新调整工作与生活节奏需要耐心，也需要诚实面对反馈。,main,event_010,,,,2026-07-23T20:00:00
event_012,demo_user,conv_main,turn_012,2026-03-30T09:00:00,为新的生活阶段做好准备,"[{""code"": ""anxiety"", ""label"": ""焦虑"", ""intensity"": 0.82, ""score"": 0.25}]",主线选择提醒我：为新的生活阶段做好准备需要耐心，也需要诚实面对反馈。,main,event_011,,,,2026-07-23T20:00:00
event_013,demo_user,conv_entrepreneur_01,turn_013,2026-02-26T09:00:00,决定参加创业比赛,"[{""code"": ""surprise"", ""label"": ""惊讶"", ""intensity"": 0.74, ""score"": 0.5}, {""code"": ""optimism"", ""label"": ""乐观"", ""intensity"": 0.61, ""score"": 0.9}]",创业实践让我明白：决定参加创业比赛需要耐心，也需要诚实面对反馈。,entrepreneur_01,event_002,event_002,entrepreneur,创业者的我,2026-07-23T20:00:00
event_014,demo_user,conv_entrepreneur_01,turn_014,2026-03-12T09:00:00,组建第一支小团队,"[{""code"": ""calm"", ""label"": ""平静"", ""intensity"": 0.53, ""score"": 0.6}]",创业实践让我明白：组建第一支小团队需要耐心，也需要诚实面对反馈。,entrepreneur_01,event_013,event_002,entrepreneur,创业者的我,2026-07-23T20:00:00
event_015,demo_user,conv_entrepreneur_01,turn_015,2026-03-26T09:00:00,完成产品原型,"[{""code"": ""surprise"", ""label"": ""惊讶"", ""intensity"": 0.58, ""score"": 0.5}]",创业实践让我明白：完成产品原型需要耐心，也需要诚实面对反馈。,entrepreneur_01,event_014,event_002,entrepreneur,创业者的我,2026-07-23T20:00:00
event_016,demo_user,conv_entrepreneur_01,turn_016,2026-04-09T09:00:00,第一次产品发布,"[{""code"": ""joy"", ""label"": ""喜悦"", ""intensity"": 0.89, ""score"": 1.0}, {""code"": ""anxiety"", ""label"": ""焦虑"", ""intensity"": 0.68, ""score"": 0.25}]",创业实践让我明白：第一次产品发布需要耐心，也需要诚实面对反馈。,entrepreneur_01,event_015,event_002,entrepreneur,创业者的我,2026-07-23T20:00:00
